t,Potential,Kinetic,Total,Virial
360000,831.484,7053.48,7884.96,142399
361000,662.69,7222.23,7884.91,137752
362000,458.16,7426.8,7884.96,132181
363000,560.548,7324.6,7885.15,135007
364000,723.47,7161.49,7884.96,139223
365000,360.726,7524.14,7884.87,129384
366000,446.32,7438.89,7885.21,131536
367000,695.079,7189.98,7885.06,138506
368000,661.798,7223.18,7884.98,137944
369000,535.548,7349.41,7884.96,134616
370000,612.781,7272.39,7885.17,136665
371000,654.878,7230.09,7884.96,137849
372000,650.468,7234.6,7885.07,137627
373000,550.81,7334.09,7884.9,134581
374000,350.747,7534.24,7884.99,128782
375000,343.459,7541.58,7885.04,128436
376000,514.54,7370.67,7885.21,133342
377000,830.054,7055.1,7885.15,142185
378000,830.386,7054.54,7884.92,142421
379000,598.133,7286.81,7884.94,136132
380000,479.385,7405.67,7885.05,132625
381000,550.647,7334.42,7885.07,134112
382000,609.362,7275.71,7885.07,135508
383000,560.35,7324.65,7885.01,134314
384000,555.538,7329.57,7885.11,134380
385000,685.418,7199.63,7885.05,137818
386000,578.762,7306.25,7885.02,134987
387000,574.664,7310.32,7884.99,134675
388000,492.106,7392.95,7885.05,132312
389000,486.126,7398.88,7885,131970
390000,470.574,7414.55,7885.12,131589
391000,603.012,7281.99,7885,135026
392000,475.99,7409.09,7885.08,131673
393000,540.678,7344.29,7884.97,133202
394000,392.319,7492.72,7885.04,129284
395000,461.915,7423.11,7885.02,131173
396000,433.925,7451.15,7885.07,130620
397000,478.812,7406.2,7885.02,131750
398000,373.662,7511.31,7884.97,128901
399000,326.346,7558.7,7885.04,127631
400000,324.765,7560.31,7885.08,127766
401000,434.54,7450.52,7885.05,130974
402000,508.131,7376.97,7885.11,133282
403000,615.037,7270.03,7885.07,136216
404000,742.338,7142.8,7885.14,139425
405000,708.8,7176.1,7884.9,138278
406000,513.097,7371.86,7884.95,132783
407000,411.344,7473.7,7885.04,130075
408000,643.265,7241.91,7885.18,136556
409000,854.85,7030.2,7885.05,142453
410000,607.177,7277.78,7884.96,136079
411000,634.645,7250.36,7885,136668
412000,574.317,7310.7,7885.01,135009
413000,534.42,7350.53,7884.95,133743
414000,349.947,7535.03,7884.98,128807
415000,512.157,7372.98,7885.13,133151
416000,577.893,7307.06,7884.95,135048
417000,547.076,7338.01,7885.08,134376
418000,556.792,7328.1,7884.89,134487
419000,312.757,7572.25,7885.01,127871
420000,537.695,7347.47,7885.16,133587
421000,643.273,7241.69,7884.96,136341
422000,576.88,7308.16,7885.03,134655
423000,736.769,7148.22,7884.99,138722
424000,428.296,7456.53,7884.82,130374
425000,312.359,7572.71,7885.07,127042
426000,399.166,7485.85,7885.02,129403
427000,563.201,7321.93,7885.13,134066
428000,731.843,7153.25,7885.09,139084
429000,780.808,7104.1,7884.9,140680
430000,590.829,7294.14,7884.97,135749
