vx,vy,vz,v
-0.966081,1.933722,-4.934660,29.023466
-1.334489,1.906968,-3.071162,14.849422
-3.561572,2.153136,-1.094914,18.519627
-0.624946,7.270587,1.802400,56.500637
0.306545,2.401482,-3.717748,19.682737
-1.136503,5.050600,-1.382341,28.711067
-2.565909,-4.238223,-0.117877,24.560316
1.423023,2.567314,-1.195917,10.046311
-2.563341,6.168663,0.676503,45.080776
-0.227815,-9.073915,2.944368,91.057152
-0.107678,-4.324249,3.260795,29.343504
-2.444462,-4.300959,4.339489,43.304802
-0.786072,2.507133,0.369519,7.040172
-3.282505,6.380080,0.029526,51.481140
0.138243,4.784472,1.943886,26.688976
-0.332942,1.436190,7.653357,60.747360
-1.547763,0.766057,6.080849,39.959137
-1.032288,3.823167,-0.397856,15.840510
2.708332,-1.848123,-8.205494,78.080750
0.627101,3.731800,3.056202,23.659954
-0.340487,2.677334,-1.549911,9.686272
-2.158050,6.638501,2.601328,55.493774
0.600332,2.569948,-5.400245,36.127678
-2.135776,1.098452,2.327106,11.183558
-3.470578,-5.460716,3.504117,54.143166
-1.531928,2.616961,3.144940,19.085941
0.504189,-4.737200,-2.077267,27.010315
-2.076995,1.947937,4.150241,25.332867
-0.390674,3.973158,0.319366,16.040606
-2.063169,4.365697,4.853447,46.871925
-1.226150,0.434618,-4.337236,20.503952
-2.034611,-0.146771,-6.231410,42.991646
-4.454623,-4.139468,3.662453,50.392426
3.192668,4.040576,-1.710630,29.445646
0.245932,3.868638,-3.266042,25.693871
-0.831234,2.537509,-1.575563,9.612297
-2.950911,-4.168906,-4.521154,46.528496
2.300488,-4.865396,1.156102,30.300888
2.543935,5.033245,-3.705256,45.534081
0.444855,-4.250844,-3.383734,29.717232
-2.376719,-1.829544,0.661305,9.433352
-1.834430,5.440541,-0.031979,32.965641
0.504528,5.683723,-3.886188,47.661713
0.794584,-0.878141,-1.308977,3.115917
-1.259847,-1.748323,-2.216089,9.554893
-3.427314,-6.955402,-2.124655,64.638252
-1.891220,-5.159900,2.308507,35.530487
-0.239137,4.944208,1.787966,27.699198
