vx,vy,vz,v
-0.829234,2.8272,-1.31034,10.3977
0.262961,2.71452,-0.0290938,7.43862
-0.175057,3.20739,-0.872043,11.0784
-0.198772,2.67168,-0.0390123,7.17892
3.29876,2.08258,0.989902,16.1989
0.731117,2.92822,-1.13723,10.4023
0.0736332,1.50005,1.81422,5.54696
-1.03193,-0.432472,0.343875,1.37017
2.14962,-2.07608,-3.07303,18.3745
0.681871,-2.71959,-2.40367,13.6388
2.14853,-2.74971,-1.03294,13.244
2.96984,-3.0105,-0.159546,17.9085
1.945,-3.40254,-0.22216,15.4096
1.49237,-2.79566,0.849682,10.7648
0.781171,-2.86431,3.65104,22.1446
-1.08552,1.10949,2.96623,11.2078
0.872539,-2.53919,-2.88228,15.5164
2.76778,-1.66338,-2.58898,17.1303
0.93839,-2.09578,-1.51575,7.57037
2.52342,-1.47211,-1.07423,9.68873
2.66118,-2.19841,0.763126,12.4973
-1.42954,0.60701,-2.3563,7.96419
-0.58994,1.24737,-1.66021,4.66026
1.03674,-1.09017,3.15729,12.2317
1.41437,-1.22037,-3.06479,12.8827
0.395455,-1.93921,-2.29972,9.20564
-0.126349,-2.79559,-0.0201896,7.83171
2.07899,-0.376673,-0.0942395,4.47296
1.23025,-1.61634,-0.0630548,4.13004
2.04668,-1.40341,-0.206278,6.20099
0.897185,-1.94137,1.95986,8.41491
0.862413,-0.73617,3.43709,13.0993
-0.185627,-0.720533,-3.2606,11.1851
2.43069,-0.819566,-1.97103,10.4649
-1.39995,-0.00101144,-0.790315,2.58447
0.911675,0.163714,-1.20931,2.32038
1.38521,-0.216784,1.13223,3.24774
1.10969,0.234047,1.41372,3.28479
-0.815595,-0.977196,0.544264,1.91633
0.731808,-1.21639,3.61721,15.0994
0.0697003,-0.719619,-3.67347,14.0171
2.33236,0.96464,-1.89004,9.94267
1.62848,0.563334,-0.815806,3.63483
1.31232,0.689974,-0.720186,2.7169
1.18959,-0.141429,0.388487,1.58606
-1.05723,0.928979,1.16607,3.34047
-0.847728,-0.116689,2.01769,4.80335
-0.227087,1.6326,2.56858,9.31453
0.909532,0.6961,-2.75511,8.90243
-1.27694,-0.397856,1.53171,4.13499
-0.413444,1.42399,0.343496,2.31668
1.57793,1.38321,0.0655341,4.40743
0.509277,-0.827757,0.839012,1.64849
2.09365,-0.384235,1.51565,6.8282
1.53419,1.80636,1.85602,9.06145
0.856421,1.10196,2.21588,6.85789
2.00907,2.24279,-1.34445,10.874
-0.729543,-1.78303,1.43654,5.77508
0.958638,2.27916,-2.0057,10.1364
-0.291428,2.27891,0.56929,5.60244
-0.791102,1.80979,0.427442,4.08388
1.2864,1.97029,2.19919,10.3733
1.33397,1.89344,1.9402,9.12897
-0.221143,0.273226,2.07833,4.44303
-0.650845,4.00569,1.63327,19.1367
-0.0890419,2.82121,-0.533936,8.25225
0.165639,1.74955,-1.36768,4.95893
0.808348,3.0663,-1.08952,11.2427
2.85424,2.73663,1.10647,16.8601
0.411223,2.76186,-0.676846,8.25511
0.259023,2.75034,0.940033,8.51514
-1.58279,-0.548957,0.83003,3.49554
2.33998,-2.98358,-2.47852,20.5203
1.33343,-1.22154,-2.00123,7.27509
3.02569,-2.39688,-0.635287,15.3034
3.08379,-2.4012,-0.0642451,15.2796
3.70266,-1.88153,0.0105488,17.25
2.12883,-2.23002,1.09067,10.6945
1.87465,-3.23017,2.44525,19.9276
0.767238,-2.01317,2.73852,12.141
2.49208,-1.75336,-3.3194,20.3031
-0.0527549,2.39034,2.63622,12.6662
0.504295,-2.0377,0.387891,4.55701
2.67108,-2.13164,-0.815056,12.3429
1.229,-2.16381,0.685214,6.66203
-1.9024,0.3902,-1.13856,5.0677
-1.41875,1.85035,-0.93613,6.313
0.969772,-0.774787,2.45847,7.58482
2.50938,-1.0245,-2.05696,11.5777
-0.737033,0.735981,-1.98643,5.03079
-1.49193,-3.62528,-2.71907,22.7619
1.74061,1.14279,0.362415,4.46703
-0.0328847,1.13882,-1.75352,4.37283
2.37138,-1.99549,0.105905,9.61662
2.05763,-3.29899,1.60463,17.692
2.55584,1.36247,2.6215,15.2609
3.02947,0.328849,-2.38597,14.9787
2.31603,-0.708808,-2.91231,14.3479
0.928901,-1.1715,0.883528,3.0159
-1.24636,2.38355,-0.260945,7.30281
2.1453,0.00332404,0.642626,5.01528
1.05444,-1.73294,-0.361001,4.24524
-0.180043,-1.64025,-0.933754,3.59473
1.50273,2.69791,0.669146,9.98469
3.29489,-0.889426,-1.93029,15.3734
2.5427,0.0140147,-2.50335,12.7323
0.1074,-1.25608,1.81204,4.87276
2.53366,-0.625744,0.969418,7.75077
1.93465,0.21334,-0.101328,3.79864
1.59739,0.109797,-0.246008,2.62424
1.31406,2.43215,0.442521,7.83793
1.64371,0.803683,2.48351,9.51549
3.14255,-0.789672,-2.75022,18.0629
-0.498966,-2.33465,0.940904,6.58486
1.97629,1.00003,-2.00114,8.91036
0.11278,-0.46114,-0.94219,1.11309
1.84834,-0.204931,0.420229,3.63497
2.01737,2.05855,2.04097,12.4729
1.46498,1.52167,2.02105,8.54627
0.732043,-0.362366,1.67821,3.48359
2.53546,1.71845,-3.65394,22.7329
-2.03223,-0.900762,1.43851,7.01063
0.318606,2.67205,-3.13528,17.0713
-0.739981,1.23767,1.87914,5.61056
0.738493,0.517132,2.60325,7.58969
2.14087,1.77889,1.52539,10.0746
0.603269,-0.0649629,1.2068,1.82451
-0.00752546,1.04287,2.29608,6.35964
1.38033,2.65474,-1.8261,12.2876
-0.0215031,2.73165,-1.09496,8.66129
-0.694063,1.10721,-0.0140432,1.70783
-0.632392,-0.396486,1.96192,4.40626
-0.117896,2.14288,0.250757,4.6687
-0.306082,3.15665,1.50241,12.3154
0.978056,2.5393,0.913704,8.23951
-0.256673,1.09977,1.28505,2.92674
4.76345,-0.204942,0.150027,22.755
2.76707,-1.70169,-1.32834,12.3169
3.56225,-1.07719,-0.903657,14.6665
4.09046,-0.901042,-1.3053,19.2475
3.37447,-1.85098,2.05096,19.0196
3.55731,1.3317,0.864789,15.1757
2.36117,-1.88927,1.80238,12.393
-1.71749,1.35092,-1.66781,7.55635
3.0161,-1.33456,-1.19563,12.3074
-1.92205,1.60066,1.24596,7.80881
3.00981,-1.36226,0.448905,11.1162
2.38483,-0.511203,-0.318686,6.0503
2.7137,-0.954412,-0.129531,8.29187
2.55797,-0.787691,0.0362825,7.16498
2.77062,-0.828176,0.363764,8.49452
-1.30447,0.44498,0.582196,2.23861
3.09359,-0.916889,-1.24162,11.9526
3.05948,-0.506044,-1.34896,11.4362
-2.12918,1.57954,1.24447,8.57708
3.8236,-0.793839,1.1099,16.482
3.13599,-0.902592,-0.0513978,10.6517
2.87754,-0.223462,-0.928457,9.1922
2.48691,1.56464,2.53812,15.0749
1.17928,1.15886,1.00231,3.73827
3.53614,-0.830016,-0.0280644,13.194
2.72488,1.00297,-0.956318,9.34548
3.23018,-0.124727,-0.980322,11.4106
-0.522834,1.95103,2.21445,8.98367
2.86615,-1.28608,3.21346,20.1952
3.61005,-0.950076,0.822683,14.6119
2.63328,2.36008,1.47255,14.6725
0.718746,1.65779,-0.0650198,3.2691
3.95546,1.51313,-0.624779,18.3256
2.91229,0.0544207,-0.769605,9.07671
3.63813,-0.64301,-1.03384,14.7182
3.92752,1.29844,-0.846486,17.8279
1.17967,-0.400586,1.25163,3.11867
2.83176,0.7251,3.08586,18.0672
2.7496,1.14647,0.504049,9.12874
0.465533,-1.01572,-0.606961,1.61681
3.15821,-1.20874,0.919655,12.2811
2.9025,1.37069,-0.965813,11.2361
2.12106,1.34669,-0.886422,7.09818
3.76452,-0.456021,-0.764446,14.964
2.46388,0.611372,-0.353688,6.56956
2.74588,0.12399,1.56787,10.0134
2.64294,0.999819,0.744642,8.53926
0.768219,-0.459585,0.520709,1.07252
3.01683,1.99861,-1.01165,14.1192
2.34711,0.350242,-1.17091,7.00261
2.28657,2.52902,1.7964,14.8514
1.68654,-1.20734,0.966004,5.23523
2.48003,1.71343,0.921657,9.93585
2.84172,0.886892,0.173552,8.89206
2.28508,-0.510317,0.0921263,5.49049
1.71602,-0.0495824,1.4755,5.12429
-1.35071,-2.06148,0.481283,6.30577
1.4489,0.609254,0.717065,2.98469
0.983005,0.927725,1.01147,2.85003
-0.239832,0.824588,1.58631,3.25383
-0.0984313,0.697771,-1.14339,1.8039
0.885244,-0.0896034,-1.73757,3.81084
1.55934,1.13816,-0.312792,3.82479
-0.489312,-2.4882,-2.22874,11.3979
