Particles,Step,Potential,Kitetic,Total
512,2529,14.0228,2957.21,2971.23
512,2534,13.9946,2957.24,2971.23
512,2539,13.9673,2957.26,2971.23
512,2544,13.9392,2957.29,2971.23
512,2549,13.911,2957.32,2971.23
512,2554,13.8832,2957.35,2971.23
512,2559,13.8563,2957.37,2971.23
512,2564,13.8294,2957.4,2971.23
512,2569,13.8023,2957.43,2971.23
512,2574,13.7746,2957.46,2971.23
512,2579,13.7481,2957.49,2971.24
512,2584,13.7209,2957.52,2971.24
512,2589,13.6942,2957.53,2971.23
512,2594,13.6677,2957.56,2971.23
512,2599,13.6408,2957.59,2971.23
512,2604,13.6146,2957.62,2971.23
512,2609,13.588,2957.64,2971.23
512,2614,13.5622,2957.67,2971.23
512,2619,13.5357,2957.7,2971.23
512,2624,13.5101,2957.72,2971.23
512,2629,13.4835,2957.75,2971.23
512,2634,13.4578,2957.77,2971.23
512,2639,13.4321,2957.81,2971.24
512,2644,13.4061,2957.83,2971.23
512,2649,13.3811,2957.85,2971.23
512,2654,13.3552,2957.87,2971.23
512,2659,13.3304,2957.9,2971.23
512,2664,13.3052,2957.93,2971.24
512,2669,13.2794,2957.95,2971.23
512,2674,13.2541,2957.98,2971.23
512,2679,13.2296,2958,2971.23
512,2684,13.205,2958.03,2971.23
512,2689,13.1796,2958.05,2971.23
512,2694,13.155,2958.08,2971.23
512,2699,13.1302,2958.1,2971.23
512,2704,13.1057,2958.12,2971.23
512,2709,13.0818,2958.15,2971.23
512,2714,13.0572,2958.17,2971.23
512,2719,13.0332,2958.2,2971.23
512,2724,13.0086,2958.22,2971.23
512,2729,12.9847,2958.25,2971.23
512,2734,12.9605,2958.27,2971.23
512,2739,12.9368,2958.29,2971.23
512,2744,12.9129,2958.31,2971.23
512,2749,12.8895,2958.34,2971.23
512,2754,12.8654,2958.37,2971.23
512,2759,12.842,2958.39,2971.24
512,2764,12.8191,2958.42,2971.24
512,2769,12.7955,2958.43,2971.23
512,2774,12.7721,2958.46,2971.23
512,2779,12.7488,2958.49,2971.23
512,2784,12.726,2958.51,2971.23
512,2789,12.7025,2958.52,2971.23
512,2794,12.6796,2958.55,2971.23
512,2799,12.6567,2958.58,2971.23
512,2804,12.6341,2958.6,2971.23
512,2809,12.6114,2958.61,2971.23
512,2814,12.5888,2958.64,2971.23
512,2819,12.5657,2958.67,2971.24
512,2824,12.5439,2958.69,2971.23
512,2829,12.5214,2958.71,2971.23
512,2834,12.4987,2958.73,2971.23
512,2839,12.4767,2958.76,2971.24
512,2844,12.4546,2958.78,2971.23
512,2849,12.4324,2958.79,2971.22
512,2854,12.4105,2958.82,2971.23
