t,Potential,Kinetic,Total,Virial
48600,-21444.6,11406.2,-10038.4,273611
48700,-21430.6,11392.3,-10038.3,273967
48800,-21428.3,11389.8,-10038.5,273932
48900,-21478.9,11440.2,-10038.7,272478
49000,-21517.5,11479.1,-10038.4,271380
49100,-21494.1,11455.9,-10038.2,271999
49200,-21466.5,11428.1,-10038.4,272824
49300,-21466,11427.6,-10038.4,273009
49400,-21444.1,11405.9,-10038.3,273766
49500,-21415.5,11377.1,-10038.3,274688
49600,-21391.8,11353.6,-10038.2,275456
49700,-21335.8,11297.7,-10038.1,277024
49800,-21280.8,11242.5,-10038.2,278501
49900,-21253.9,11215.6,-10038.3,279163
50000,-21234.9,11196.5,-10038.3,279562
50100,-21251.7,11075.8,-10175.9,279002
50200,-21303,11127.1,-10176,277569
50300,-21338.3,11162.6,-10175.8,276642
50400,-21337.6,11161.9,-10175.7,276746
50500,-21323.4,11147.7,-10175.6,277239
50600,-21298.7,11123.2,-10175.6,277947
50700,-21289.6,11113.7,-10175.8,278143
50800,-21330.7,11154.8,-10176,276969
50900,-21362.5,11186.7,-10175.8,276055
51000,-21373.7,11197.9,-10175.8,275761
51100,-21382,11206.3,-10175.7,275630
51200,-21362.1,11186.6,-10175.5,276295
51300,-21330.3,11154.6,-10175.7,277280
51400,-21357.6,11181.7,-10176,276705
51500,-21398.4,11222.7,-10175.8,275755
51600,-21406.1,11230.4,-10175.7,275661
51700,-21414.1,11238.3,-10175.8,275555
51800,-21432,11256.2,-10175.8,275155
51900,-21444.4,11268.8,-10175.7,274871
52000,-21413.5,11238.1,-10175.4,275713
52100,-21351.8,11176.4,-10175.4,277316
52200,-21328.9,11153.1,-10175.7,277804
52300,-21359.5,11183.6,-10175.9,276756
52400,-21409.7,11233.7,-10175.9,275130
52500,-21442.5,11266.7,-10175.8,274008
52600,-21440.8,11265.2,-10175.6,273923
52700,-21414.5,11239,-10175.5,274613
52800,-21377.3,11201.7,-10175.5,275634
52900,-21365.7,11190,-10175.7,275969
53000,-21391.2,11215.3,-10175.9,275310
53100,-21413.1,11237.5,-10175.7,274766
53200,-21376,11200.5,-10175.5,275791
53300,-21367.3,11191.4,-10175.8,276051
53400,-21415.3,11239.3,-10175.9,274740
53500,-21449.7,11273.9,-10175.8,273702
53600,-21466.5,11290.6,-10175.8,273110
53700,-21490.7,11315,-10175.8,272370
53800,-21478.4,11303,-10175.5,272667
53900,-21421.1,11245.7,-10175.4,274187
54000,-21401.4,11225.7,-10175.8,274678
54100,-21462.3,11286.2,-10176.1,272946
54200,-21560.1,11384,-10176.1,270178
54300,-21618.1,11442.3,-10175.8,268508
54400,-21610.8,11435.3,-10175.5,268689
54500,-21561.4,11386,-10175.4,270097
54600,-21499.2,11323.8,-10175.4,271851
54700,-21479.3,11303.6,-10175.7,272414
54800,-21506.7,11330.9,-10175.9,271633
54900,-21531.2,11355.5,-10175.8,270896
55000,-21519.6,11344,-10175.6,271153
55100,-21514.9,10931.5,-10583.5,271255
55200,-21536.1,10952.6,-10583.5,270660
55300,-21552.1,10968.7,-10583.5,270181
55400,-21576.1,10992.5,-10583.6,269468
55500,-21638.3,11054.6,-10583.8,267736
55600,-21704.3,11120.6,-10583.7,265942
55700,-21738.4,11154.9,-10583.4,265099
55800,-21711.1,11127.9,-10583.1,265987
55900,-21662,11078.8,-10583.2,267505
56000,-21649.7,11066.3,-10583.4,268043
56100,-21661.5,11078,-10583.4,267886
56200,-21657.3,11074,-10583.3,268096
56300,-21626.3,11043,-10583.2,268964
56400,-21610.9,11027.5,-10583.4,269360
56500,-21605.9,11022.6,-10583.3,269392
56600,-21581.1,10997.8,-10583.3,269838
56700,-21584.1,11000.6,-10583.5,269491
56800,-21608.3,11024.8,-10583.5,268542
56900,-21639.7,11056,-10583.6,267377
57000,-21703.1,11119.4,-10583.7,265397
57100,-21753,11169.5,-10583.5,263862
57200,-21760,11176.7,-10583.3,263634
57300,-21719.7,11136.6,-10583.1,264841
57400,-21657.9,11074.8,-10583.1,266726
57500,-21621.7,11038.4,-10583.3,267941
57600,-21614.9,11031.5,-10583.4,268321
57700,-21611.1,11027.7,-10583.3,268582
57800,-21576.6,10993.5,-10583.1,269658
57900,-21521.5,10938.4,-10583.1,271284
58000,-21497.6,10914.1,-10583.5,272024
58100,-21547.4,10963.7,-10583.8,270698
58200,-21620.4,11036.7,-10583.7,268632
58300,-21659.8,11076.3,-10583.5,267363
58400,-21685.2,11101.6,-10583.6,266448
58500,-21730.7,11147.1,-10583.6,265074
58600,-21746.9,11163.6,-10583.3,264589
58700,-21696.9,11113.8,-10583.1,265951
58800,-21638,11054.8,-10583.2,267591
58900,-21638.8,11055.3,-10583.6,267639
59000,-21696.1,11112.4,-10583.7,266168
59100,-21737,11153.5,-10583.5,265126
59200,-21713.5,11130.4,-10583.1,265825
59300,-21624.8,11042,-10582.9,268285
59400,-21515.8,10932.9,-10582.9,271228
59500,-21462.3,10879,-10583.4,272565
59600,-21505.1,10921.3,-10583.8,271226
59700,-21595.5,11011.6,-10583.9,268582
59800,-21689.5,11105.7,-10583.8,265946
59900,-21743.3,11159.8,-10583.5,264558
60000,-21733.8,11150.6,-10583.2,265021
60100,-21715.8,10795.3,-10920.5,265776
60200,-21712.1,10791.6,-10920.5,266057
60300,-21730.2,10809.5,-10920.7,265597
60400,-21789.3,10868.4,-10920.9,263941
60500,-21844.1,10923.4,-10920.7,262389
60600,-21841.4,10921,-10920.4,262441
60700,-21782.7,10862.4,-10920.2,264047
60800,-21724.4,10804.1,-10920.3,265647
60900,-21702.3,10781.8,-10920.5,266188
61000,-21741.1,10820.2,-10920.9,264950
61100,-21846.7,10925.6,-10921.1,261809
